openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Weststraat,1,a,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742699,51.697218
Weststraat,1,b,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742451,51.697165
Weststraat,1,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742845,51.697307
Weststraat,3,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742381,51.697136
Weststraat,5,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742352,51.697083
Weststraat,7,a,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741957,51.697089
Weststraat,7,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742133,51.697085
Weststraat,9,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741690,51.696882
Weststraat,11,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741494,51.696767
Weststraat,13,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741108,51.696550
Weststraat,15,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740934,51.696478
Weststraat,17,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740867,51.696404
Weststraat,19,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740751,51.696330
Weststraat,21,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740500,51.696228
Weststraat,23,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740299,51.696148
Weststraat,25,,,4328AA,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.739963,51.695960
Weststraat,4,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742548,51.697419
Weststraat,6,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742447,51.697400
Weststraat,8,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742325,51.697366
Weststraat,10,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742212,51.697336
Weststraat,12,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742135,51.697322
Weststraat,14,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742043,51.697301
Weststraat,16,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741976,51.697293
Weststraat,18,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741805,51.697362
Weststraat,20,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741621,51.697205
Weststraat,22,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741576,51.697254
Weststraat,24,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741563,51.697176
Weststraat,26,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741470,51.697168
Weststraat,28,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741406,51.697161
Weststraat,30,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741369,51.697115
Weststraat,32,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740571,51.696693
Weststraat,34,a,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740254,51.696662
Weststraat,34,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740375,51.696605
Weststraat,36,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.740072,51.696422
Weststraat,38,a,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.739654,51.696484
Weststraat,38,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.739810,51.696301
Weststraat,40,,,4328AB,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.739331,51.696172
Zuidstraat,1,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743706,51.697273
Zuidstraat,3,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743760,51.697209
Zuidstraat,5,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743808,51.697138
Zuidstraat,7,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743880,51.697046
Zuidstraat,9,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743958,51.696970
Zuidstraat,11,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743996,51.696893
Zuidstraat,13,,,4328AC,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743998,51.696839
Zuidstraat,2,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.742996,51.697377
Zuidstraat,4,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743077,51.697290
Zuidstraat,6,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743243,51.697281
Zuidstraat,10,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743358,51.697175
Zuidstraat,12,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743464,51.697128
Zuidstraat,14,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743526,51.697066
Zuidstraat,16,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743593,51.697008
Zuidstraat,18,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743663,51.696922
Zuidstraat,20,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743677,51.696834
Zuidstraat,22,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743780,51.696768
Zuidstraat,24,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.744024,51.696572
Zuidstraat,26,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.744140,51.696580
Zuidstraat,28,,,4328AD,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.744257,51.696605
Ring,1,,,4328AE,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.743436,51.697734
Ring,2,a,,4328AE,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741772,51.697699
Ring,2,,,4328AE,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,VBO,3.741772,51.697699
