openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Laekwerterwei,2,,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.618643,53.129774
Laekwerterwei,2,,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.619078,53.129940
Laekwerterwei,7,a,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.620046,53.136080
Laekwerterwei,7,b,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.620076,53.136032
Laekwerterwei,7,c,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.620484,53.135962
Laekwerterwei,7,d,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.618954,53.135651
Laekwerterwei,7,,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.619854,53.136179
Laekwerterwei,9,,,8733EL,Iens,Súdwest-Fryslân,Friesland,VBO,5.618547,53.134470
Hegenserleane,1,,,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.621006,53.125916
Hegenserleane,2,,,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.613803,53.127919
Hegenserleane,3,,,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.605992,53.123469
Hegenserleane,4,,,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.606080,53.123982
Hegenserleane,5,a,MLN,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.601161,53.122322
Hegenserleane,5,,WSCH,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.601096,53.122124
Hegenserleane,5,,,8733EM,Iens,Súdwest-Fryslân,Friesland,VBO,5.601987,53.123085
Bûten de Kom,2,,,8733EN,Iens,Súdwest-Fryslân,Friesland,VBO,5.609763,53.118617
Van Burmaniawei,1,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.614574,53.122278
Van Burmaniawei,2,A,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613749,53.123187
Van Burmaniawei,2,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613968,53.122882
Van Burmaniawei,3,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613370,53.122232
Van Burmaniawei,4,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613305,53.122568
Van Burmaniawei,5,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613240,53.122086
Van Burmaniawei,6,,NUON,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613255,53.122440
Van Burmaniawei,6,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.612960,53.122517
Van Burmaniawei,8,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.612689,53.122771
Van Burmaniawei,9,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613450,53.121990
Van Burmaniawei,10,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.612846,53.122338
Van Burmaniawei,11,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.613814,53.121692
Van Burmaniawei,12,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.612842,53.122235
Van Burmaniawei,13,,,8733EP,Iens,Súdwest-Fryslân,Friesland,VBO,5.614148,53.120499
